,Target ID,Algorithm,Selection Metric,Metric,Value,trial
24,1865,SVR,SERA,MAE,0.0996171629730701,0
25,1865,SVR,SERA,MSE,0.0160337361607703,0
26,1865,SVR,SERA,R2,0.9837228748767628,0
27,1865,SVR,SERA,RMSE,0.1266243900706745,0
31,1865,SVR,SERA,SERA,0.0046544624492526,0
32,1865,SVR,MAE,MAE,0.0996171629730701,0
33,1865,SVR,MAE,MSE,0.0160337361607703,0
34,1865,SVR,MAE,R2,0.9837228748767628,0
35,1865,SVR,MAE,RMSE,0.1266243900706745,0
39,1865,SVR,MAE,SERA,0.0046544624492526,0
40,1865,SVR,MSE,MAE,0.1060847603165438,0
41,1865,SVR,MSE,MSE,0.0230991140701404,0
42,1865,SVR,MSE,R2,0.9765502459198792,0
43,1865,SVR,MSE,RMSE,0.1519839270124985,0
47,1865,SVR,MSE,SERA,0.0085126506164669,0
72,1865,SVR,SERA,MAE,0.1010721635700965,1
73,1865,SVR,SERA,MSE,0.0162212151622527,1
74,1865,SVR,SERA,R2,0.9834881428564836,1
75,1865,SVR,SERA,RMSE,0.1273625343743314,1
79,1865,SVR,SERA,SERA,0.0046424753963947,1
80,1865,SVR,MAE,MAE,0.1054214344996504,1
81,1865,SVR,MAE,MSE,0.0202660111999468,1
82,1865,SVR,MAE,R2,0.9793708745950724,1
83,1865,SVR,MAE,RMSE,0.1423587412136918,1
87,1865,SVR,MAE,SERA,0.0061068162322044,1
88,1865,SVR,MSE,MAE,0.1054214344996504,1
89,1865,SVR,MSE,MSE,0.0202660111999468,1
90,1865,SVR,MSE,R2,0.9793708745950724,1
91,1865,SVR,MSE,RMSE,0.1423587412136918,1
95,1865,SVR,MSE,SERA,0.0061068162322044,1
120,1865,SVR,SERA,MAE,0.0988532460230278,2
121,1865,SVR,SERA,MSE,0.0134104095091697,2
122,1865,SVR,SERA,R2,0.9863480977609922,2
123,1865,SVR,SERA,RMSE,0.1158033225307882,2
127,1865,SVR,SERA,SERA,0.0020399647764861,2
128,1865,SVR,MAE,MAE,0.0988342878286126,2
129,1865,SVR,MAE,MSE,0.0134069930873707,2
130,1865,SVR,MAE,R2,0.9863515757052246,2
131,1865,SVR,MAE,RMSE,0.1157885706249574,2
135,1865,SVR,MAE,SERA,0.0020377633627504,2
136,1865,SVR,MSE,MAE,0.1059036659831007,2
137,1865,SVR,MSE,MSE,0.0199388340779328,2
138,1865,SVR,MSE,R2,0.9797021102595256,2
139,1865,SVR,MSE,RMSE,0.1412049364502985,2
143,1865,SVR,MSE,SERA,0.0045802816748619,2
168,1865,SVR,SERA,MAE,0.1011889277170752,3
169,1865,SVR,SERA,MSE,0.0177724895912465,3
170,1865,SVR,SERA,R2,0.9811513194478928,3
171,1865,SVR,SERA,RMSE,0.1333135011589095,3
175,1865,SVR,SERA,SERA,0.004659139085561,3
176,1865,SVR,MAE,MAE,0.1011889277170752,3
177,1865,SVR,MAE,MSE,0.0177724895912465,3
178,1865,SVR,MAE,R2,0.9811513194478928,3
179,1865,SVR,MAE,RMSE,0.1333135011589095,3
183,1865,SVR,MAE,SERA,0.004659139085561,3
184,1865,SVR,MSE,MAE,0.1011889277170752,3
185,1865,SVR,MSE,MSE,0.0177724895912465,3
186,1865,SVR,MSE,R2,0.9811513194478928,3
187,1865,SVR,MSE,RMSE,0.1333135011589095,3
191,1865,SVR,MSE,SERA,0.004659139085561,3
216,1865,SVR,SERA,MAE,0.1029976331279147,4
217,1865,SVR,SERA,MSE,0.0174686014361988,4
218,1865,SVR,SERA,R2,0.9821402769875563,4
219,1865,SVR,SERA,RMSE,0.1321688368572519,4
223,1865,SVR,SERA,SERA,0.0038171901833266,4
224,1865,SVR,MAE,MAE,0.1029976331279147,4
225,1865,SVR,MAE,MSE,0.0174686014361988,4
226,1865,SVR,MAE,R2,0.9821402769875563,4
227,1865,SVR,MAE,RMSE,0.1321688368572519,4
231,1865,SVR,MAE,SERA,0.0038171901833266,4
232,1865,SVR,MSE,MAE,0.1029976331279147,4
233,1865,SVR,MSE,MSE,0.0174686014361988,4
234,1865,SVR,MSE,R2,0.9821402769875563,4
235,1865,SVR,MSE,RMSE,0.1321688368572519,4
239,1865,SVR,MSE,SERA,0.0038171901833266,4
