,Unnamed: 0,model,trial,Target ID,Selection Metric,module__layers,module__dropout_rate,module__activation,optimizer__lr,max_epochs,on_epoch,train_loss,val_loss
0,0,DNN,0,CHEMBL260,MAE,"(500, 250)",0.0,tanh,0.01,200,31.0,0.1008582708354179,0.3895533035198847
1,1,DNN,0,CHEMBL260,MSE,"(500, 250)",0.0,tanh,0.01,200,31.0,0.1008582708354179,0.3895533035198847
5,5,DNN,0,CHEMBL260,SERA,"(100, 100)",0.0,tanh,0.001,200,15.0,42.64677144930913,83.51980209350586
6,6,DNN,1,CHEMBL260,MAE,"(100, 100)",0.0,tanh,0.01,200,91.0,0.0118612931289065,0.3771047219634056
7,7,DNN,1,CHEMBL260,MSE,"(100, 100)",0.0,tanh,0.01,200,91.0,0.0118612931289065,0.3771047219634056
11,11,DNN,1,CHEMBL260,SERA,"(250, 500)",0.0,tanh,0.01,200,39.0,13.42042429974446,83.6351432800293
12,12,DNN,2,CHEMBL260,MAE,"(250, 500)",0.0,tanh,0.01,200,115.0,0.0486255427106068,0.435147785478168
13,13,DNN,2,CHEMBL260,MSE,"(250, 500)",0.0,tanh,0.01,200,115.0,0.0486255427106068,0.435147785478168
17,17,DNN,2,CHEMBL260,SERA,"(100, 250, 500)",0.0,tanh,0.01,200,87.0,13.996013971475454,94.49324120415582
18,18,DNN,3,CHEMBL260,MAE,"(100, 250, 500)",0.0,tanh,0.01,200,23.0,0.0758511797310068,0.4052460723453098
19,19,DNN,3,CHEMBL260,MSE,"(100, 250, 500)",0.0,tanh,0.01,200,23.0,0.0758511797310068,0.4052460723453098
23,23,DNN,3,CHEMBL260,SERA,"(250, 250)",0.0,tanh,0.01,200,130.0,9.899727326173048,79.14000765482585
24,24,DNN,4,CHEMBL260,MAE,"(100, 250, 500)",0.0,tanh,0.01,200,114.0,0.0241062029694708,0.3705309977134068
25,25,DNN,4,CHEMBL260,MSE,"(100, 250, 500)",0.0,tanh,0.01,200,114.0,0.0241062029694708,0.3705309977134068
29,29,DNN,4,CHEMBL260,SERA,"(100, 250, 500)",0.0,tanh,0.01,200,48.0,18.357748574935474,79.44304445054796
